==================== 2026-03-01T11:08:33.069194Z | 4bb6b453-9011-4293-a6ce-e9a6a4218de3 ====================
11:08:33.069304 [info ]: Starting dbt LSP server
11:08:33.069351 [info ]: Connecting to LSP client on port 8000
11:08:33.071279 [info ]: Successfully connected to LSP client
11:08:33.071300 [info ]: Creating LSP service...
11:08:33.162828 [info ]: Creating LSP server...
11:08:33.162876 [info ]: Starting LSP server...
11:08:33.230001 [info ]: Started loading project
11:08:33.241745 [info ]: Loading profiles.yml
11:08:33.578455 [info ]:    Started resolving packages from packages.yml
11:08:35.455570 [debug]: Finished parsing models\raw\raw_email_events.yml [  0.00s]
11:08:35.456334 [debug]: Finished parsing models\raw\raw_erp_products.yml [  0.00s]
11:08:35.457016 [debug]: Finished parsing models\raw\raw_erp_warehouses.yml [  0.00s]
11:08:35.457653 [debug]: Finished parsing models\raw\raw_google_ads_campaigns.yml [  0.00s]
11:08:35.458180 [debug]: Finished parsing models\raw\raw_google_ads_performance.yml [  0.00s]
11:08:35.458900 [debug]: Finished parsing models\raw\raw_inventory_snapshots.yml [  0.00s]
11:08:35.459672 [debug]: Finished parsing models\raw\raw_mobile_events.yml [  0.00s]
11:08:35.460374 [debug]: Finished parsing models\raw\raw_mobile_sessions.yml [  0.00s]
11:08:35.460927 [debug]: Finished parsing models\raw\raw_salesforce_accounts.yml [  0.00s]
11:08:35.461487 [debug]: Finished parsing models\raw\raw_salesforce_contacts.yml [  0.00s]
11:08:35.462217 [debug]: Finished parsing models\raw\raw_salesforce_opportunities.yml [  0.00s]
11:08:35.463329 [debug]: Finished parsing models\raw\raw_shopify_customers.yml [  0.00s]
11:08:35.465701 [debug]: Finished parsing models\raw\raw_shopify_gift_cards.yml [  0.00s]
11:08:35.468182 [debug]: Finished parsing models\raw\raw_shopify_order_items.yml [  0.00s]
11:08:35.469220 [debug]: Finished parsing models\raw\raw_shopify_orders.yml [  0.00s]
11:08:35.470362 [debug]: Finished parsing models\raw\raw_shopify_product_variants.yml [  0.00s]
11:08:35.472618 [debug]: Finished parsing models\raw\raw_shopify_products.yml [  0.00s]
11:08:35.473538 [debug]: Finished parsing models\raw\raw_shopify_refunds.yml [  0.00s]
11:08:35.474414 [debug]: Finished parsing models\raw\raw_stripe_payments.yml [  0.00s]
11:08:35.475270 [debug]: Finished parsing models\raw\raw_stripe_refunds.yml [  0.00s]
11:08:35.475960 [debug]: Finished parsing models\raw\raw_stripe_subscriptions.yml [  0.00s]
11:08:35.476739 [debug]: Finished parsing models\raw\raw_web_sessions.yml [  0.00s]
11:08:35.477582 [debug]: Finished parsing models\source\src_email_campaigns.yml [  0.00s]
11:08:35.478376 [debug]: Finished parsing models\source\src_email_events.yml [  0.00s]
11:08:35.482290 [debug]: Finished parsing models\source\src_erp_products.yml [  0.00s]
11:08:35.484509 [debug]: Finished parsing models\source\src_erp_warehouses.yml [  0.00s]
11:08:35.485542 [debug]: Finished parsing models\source\src_google_ads_campaigns.yml [  0.00s]
11:08:35.486455 [debug]: Finished parsing models\source\src_google_ads_performance.yml [  0.00s]
11:08:35.487230 [debug]: Finished parsing models\source\src_inventory_snapshots.yml [  0.00s]
11:08:35.488485 [debug]: Finished parsing models\source\src_mobile_events.yml [  0.00s]
11:08:35.489400 [debug]: Finished parsing models\source\src_orders_v2.yml [  0.00s]
11:08:35.490567 [debug]: Finished parsing models\source\src_salesforce_accounts.yml [  0.00s]
11:08:35.491696 [debug]: Finished parsing models\source\src_salesforce_contacts.yml [  0.00s]
11:08:35.492487 [debug]: Finished parsing models\source\src_salesforce_opportunities.yml [  0.00s]
11:08:35.493309 [debug]: Finished parsing models\source\src_shopify_customers.yml [  0.00s]
11:08:35.494220 [debug]: Finished parsing models\source\src_shopify_gift_cards_v2.yml [  0.00s]
11:08:35.495475 [debug]: Finished parsing models\source\src_shopify_order_items.yml [  0.00s]
11:08:35.496508 [debug]: Finished parsing models\source\src_shopify_orders.yml [  0.00s]
11:08:35.497932 [debug]: Finished parsing models\source\src_shopify_product_variants.yml [  0.00s]
11:08:35.499735 [debug]: Finished parsing models\source\src_shopify_products.yml [  0.00s]
11:08:35.501456 [debug]: Finished parsing models\source\src_shopify_refunds.yml [  0.00s]
11:08:35.502377 [debug]: Finished parsing models\source\src_stripe_payments.yml [  0.00s]
11:08:35.502864 [debug]: Finished parsing models\source\src_stripe_refunds.yml [  0.00s]
11:08:35.503386 [debug]: Finished parsing models\source\src_stripe_subscriptions.yml [  0.00s]
11:08:35.503957 [debug]: Finished parsing models\source\src_subscription_events.yml [  0.00s]
11:08:35.504620 [debug]: Finished parsing models\source\src_web_sessions.yml [  0.00s]
11:08:35.556227 [debug]: Finished parsing models\analytics\analytics_b2b_pipeline.sql [  0.00s]
11:08:35.556355 [debug]: Finished parsing models\raw\raw_erp_warehouses.sql [  0.00s]
11:08:35.556425 [debug]: Finished parsing models\source\src_mobile_events.sql [  0.00s]
11:08:35.556462 [debug]: Finished parsing models\core\core_inventory_legacy.sql [  0.00s]
11:08:35.556462 [debug]: Finished parsing models\analytics\analytics_product_performance.sql [  0.00s]
11:08:35.556482 [debug]: Finished parsing models\analytics\analytics_finance_monthly.sql [  0.00s]
11:08:35.556558 [debug]: Finished parsing models\raw\raw_shopify_customers.sql [  0.00s]
11:08:35.556954 [debug]: Finished parsing models\raw\raw_stripe_subscriptions.sql [  0.00s]
11:08:35.556966 [debug]: Finished parsing models\core\core_revenue_daily.sql [  0.00s]
11:08:35.557484 [debug]: Finished parsing models\core\core_ad_performance.sql [  0.01s]
11:08:35.557517 [debug]: Finished parsing models\source\src_shopify_product_variants.sql [  0.01s]
11:08:35.558981 [debug]: Finished parsing models\source\src_shopify_products.sql [  0.00s]
11:08:35.559156 [debug]: Finished parsing models\raw\raw_shopify_gift_cards.sql [  0.00s]
11:08:35.559378 [debug]: Finished parsing models\analytics\analytics_refund_analysis.sql [  0.00s]
11:08:35.559631 [debug]: Finished parsing models\raw\raw_google_ads_campaigns.sql [  0.00s]
11:08:35.559666 [debug]: Finished parsing models\core\core_inventory_status.sql [  0.00s]
11:08:35.560107 [debug]: Finished parsing models\core\core_b2b_accounts.sql [  0.00s]
11:08:35.560139 [debug]: Finished parsing models\raw\raw_web_sessions.sql [  0.00s]
11:08:35.560153 [debug]: Finished parsing models\analytics\analytics_cac_analysis.sql [  0.00s]
11:08:35.560165 [debug]: Finished parsing models\core\core_revenue_monthly.sql [  0.00s]
11:08:35.560735 [debug]: Finished parsing models\source\src_shopify_refunds.sql [  0.00s]
11:08:35.560992 [debug]: Finished parsing models\source\src_orders_v2.sql [  0.00s]
11:08:35.561233 [debug]: Finished parsing models\source\src_salesforce_accounts.sql [  0.00s]
11:08:35.561509 [debug]: Finished parsing models\raw\raw_shopify_order_items.sql [  0.00s]
11:08:35.561574 [debug]: Finished parsing models\core\core_mobile_engagement.sql [  0.00s]
11:08:35.561581 [debug]: Finished parsing models\core\core_cohort_retention.sql [  0.00s]
11:08:35.561646 [debug]: Finished parsing models\raw\raw_google_ads_performance.sql [  0.00s]
11:08:35.561659 [debug]: Finished parsing models\analytics\analytics_channel_roi.sql [  0.00s]
11:08:35.562166 [debug]: Finished parsing models\analytics\analytics_geographic_revenue.sql [  0.01s]
11:08:35.563424 [debug]: Finished parsing models\source\src_salesforce_contacts.sql [  0.00s]
11:08:35.563460 [debug]: Finished parsing models\core\core_coupon_analysis.sql [  0.00s]
11:08:35.563490 [debug]: Finished parsing models\analytics\analytics_churn_risk.sql [  0.00s]
11:08:35.563559 [debug]: Finished parsing models\raw\raw_shopify_orders.sql [  0.00s]
11:08:35.563582 [debug]: Finished parsing models\source\src_stripe_payments.sql [  0.00s]
11:08:35.563672 [debug]: Finished parsing models\analytics\analytics_revenue_v1.sql [  0.00s]
11:08:35.563685 [debug]: Finished parsing models\raw\raw_inventory_snapshots.sql [  0.00s]
11:08:35.564245 [debug]: Finished parsing models\analytics\analytics_inventory_current.sql [  0.01s]
11:08:35.564288 [debug]: Finished parsing models\core\core_new_vs_returning.sql [  0.00s]
11:08:35.564683 [debug]: Finished parsing models\source\src_email_campaigns.sql [  0.01s]
11:08:35.566643 [debug]: Finished parsing models\analytics\analytics_revenue_v2.sql [  0.00s]
11:08:35.566761 [debug]: Finished parsing models\core\core_revenue_summary.sql [  0.01s]
11:08:35.566777 [debug]: Finished parsing models\analytics\analytics_cohort_retention.sql [  0.00s]
11:08:35.566807 [debug]: Finished parsing models\raw\raw_mobile_events.sql [  0.00s]
11:08:35.566904 [debug]: Finished parsing models\source\src_salesforce_opportunities.sql [  0.00s]
11:08:35.567121 [debug]: Finished parsing models\raw\raw_shopify_product_variants.sql [  0.00s]
11:08:35.567154 [debug]: Finished parsing models\core\core_customer_segments.sql [  0.00s]
11:08:35.567260 [debug]: Finished parsing models\core\core_opportunities.sql [  0.00s]
11:08:35.567399 [debug]: Finished parsing models\source\src_email_events.sql [  0.01s]
11:08:35.567448 [debug]: Finished parsing models\analytics\analytics_inventory_legacy.sql [  0.00s]
11:08:35.567881 [debug]: Finished parsing models\source\src_stripe_refunds.sql [  0.00s]
11:08:35.568681 [debug]: Finished parsing models\source\src_shopify_customers.sql [  0.00s]
11:08:35.569302 [debug]: Finished parsing models\analytics\analytics_legacy_kpis.sql [  0.00s]
11:08:35.569423 [debug]: Finished parsing models\core\core_seller_metrics.sql [  0.00s]
11:08:35.569466 [debug]: Finished parsing models\analytics\analytics_seller_dashboard_v1.sql [  0.00s]
11:08:35.569800 [debug]: Finished parsing models\analytics\analytics_customer_360.sql [  0.00s]
11:08:35.569929 [debug]: Finished parsing models\core\core_customers.sql [  0.00s]
11:08:35.569966 [debug]: Finished parsing models\raw\raw_shopify_products.sql [  0.00s]
11:08:35.570261 [debug]: Finished parsing models\raw\raw_mobile_sessions.sql [  0.00s]
11:08:35.570254 [debug]: Finished parsing models\source\src_erp_products.sql [  0.00s]
11:08:35.570408 [debug]: Finished parsing models\core\core_orders.sql [  0.00s]
11:08:35.570424 [debug]: Finished parsing models\source\src_stripe_subscriptions.sql [  0.00s]
11:08:35.570501 [debug]: Finished parsing models\source\src_shopify_gift_cards_v2.sql [  0.00s]
11:08:35.571037 [debug]: Finished parsing models\analytics\analytics_seller_dashboard_v2.sql [  0.00s]
11:08:35.571614 [debug]: Finished parsing models\analytics\analytics_customer_health.sql [  0.00s]
11:08:35.571712 [debug]: Finished parsing models\analytics\analytics_marketing_weekly.sql [  0.00s]
11:08:35.571742 [debug]: Finished parsing models\source\src_erp_warehouses.sql [  0.00s]
11:08:35.571759 [debug]: Finished parsing models\core\core_products.sql [  0.00s]
11:08:35.571771 [debug]: Finished parsing models\core\core_subscriptions.sql [  0.00s]
11:08:35.571785 [debug]: Finished parsing models\core\core_email_performance.sql [  0.00s]
11:08:35.572240 [debug]: Finished parsing models\raw\raw_shopify_refunds.sql [  0.00s]
11:08:35.572563 [debug]: Finished parsing models\analytics\analytics_subscription_health.sql [  0.00s]
11:08:35.572614 [debug]: Finished parsing models\source\src_subscription_events.sql [  0.00s]
11:08:35.572703 [debug]: Finished parsing models\source\src_shopify_order_items.sql [  0.00s]
11:08:35.572889 [debug]: Finished parsing models\raw\raw_salesforce_accounts.sql [  0.00s]
11:08:35.573593 [debug]: Finished parsing models\analytics\analytics_email_performance.sql [  0.00s]
11:08:35.573671 [debug]: Finished parsing models\analytics\analytics_mobile_engagement.sql [  0.00s]
11:08:35.573898 [debug]: Finished parsing models\source\src_shopify_orders.sql [  0.00s]
11:08:35.573919 [debug]: Finished parsing models\source\src_web_sessions.sql [  0.00s]
11:08:35.573932 [debug]: Finished parsing models\analytics\analytics_subscription_mrr_trend.sql [  0.00s]
11:08:35.574178 [debug]: Finished parsing models\core\core_web_engagement.sql [  0.00s]
11:08:35.574221 [debug]: Finished parsing models\source\src_google_ads_campaigns.sql [  0.00s]
11:08:35.574246 [debug]: Finished parsing models\raw\raw_stripe_payments.sql [  0.00s]
11:08:35.574317 [debug]: Finished parsing models\core\core_refunds.sql [  0.00s]
11:08:35.574432 [debug]: Finished parsing models\core\core_experimental_ltv.sql [  0.00s]
11:08:35.574543 [debug]: Finished parsing models\raw\raw_salesforce_contacts.sql [  0.00s]
11:08:35.574913 [debug]: Finished parsing models\analytics\analytics_executive_kpis.sql [  0.00s]
11:08:35.574984 [debug]: Finished parsing models\raw\raw_stripe_refunds.sql [  0.00s]
11:08:35.575240 [debug]: Finished parsing models\analytics\analytics_web_traffic.sql [  0.00s]
11:08:35.575602 [debug]: Finished parsing models\core\core_revenue_combined.sql [  0.00s]
11:08:35.575620 [debug]: Finished parsing models\core\core_geographic_revenue.sql [  0.00s]
11:08:35.575754 [debug]: Finished parsing models\raw\raw_salesforce_opportunities.sql [  0.00s]
11:08:35.576057 [debug]: Finished parsing models\analytics\analytics_new_customer_acquisition.sql [  0.00s]
11:08:35.576071 [debug]: Finished parsing models\source\src_google_ads_performance.sql [  0.00s]
11:08:35.576199 [debug]: Finished parsing models\raw\raw_email_campaigns.sql [  0.00s]
11:08:35.577577 [debug]: Finished parsing models\source\src_inventory_snapshots.sql [  0.00s]
11:08:35.577594 [debug]: Finished parsing models\analytics\analytics_new_vs_returning.sql [  0.00s]
11:08:35.578190 [debug]: Finished parsing models\raw\raw_email_events.sql [  0.00s]
11:08:35.579747 [debug]: Finished parsing models\raw\raw_erp_products.sql [  0.00s]
11:08:35.991969 [debug]: Finished parsing target\generic_tests\unique_src_shopify_refunds_refund_id.sql [  0.00s]
11:08:35.992107 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_order_items_line_item_id.sql [  0.00s]
11:08:35.992226 [debug]: Finished parsing target\generic_tests\unique_core_email_performance_campaign_id.sql [  0.00s]
11:08:35.992233 [debug]: Finished parsing target\generic_tests\not_null_core_orders_order_id.sql [  0.00s]
11:08:35.992252 [debug]: Finished parsing target\generic_tests\unique_core_subscriptions_subscription_id.sql [  0.00s]
11:08:35.992277 [debug]: Finished parsing target\generic_tests\unique_src_email_events_event_id.sql [  0.00s]
11:08:35.992309 [debug]: Finished parsing target\generic_tests\unique_raw_stripe_payments_payment_id.sql [  0.00s]
11:08:35.992327 [debug]: Finished parsing target\generic_tests\unique_analytics_inventory_current_variant_id.sql [  0.00s]
11:08:35.992303 [debug]: Finished parsing target\generic_tests\unique_raw_mobile_events_event_id.sql [  0.00s]
11:08:35.992272 [debug]: Finished parsing target\generic_tests\unique_src_salesforce_accounts_account_id.sql [  0.00s]
11:08:35.992389 [debug]: Finished parsing target\generic_tests\unique_analytics_b2b_pipeline_account_id.sql [  0.00s]
11:08:35.995170 [debug]: Finished parsing target\generic_tests\not_null_raw_stripe_payments_payment_id.sql [  0.00s]
11:08:35.995163 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_orders_customer_id.sql [  0.00s]
11:08:35.995235 [debug]: Finished parsing target\generic_tests\not_null_src_email_events_event_id.sql [  0.00s]
11:08:35.995272 [debug]: Finished parsing target\generic_tests\not_null_raw_mobile_events_event_id.sql [  0.00s]
11:08:35.995571 [debug]: Finished parsing target\generic_tests\not_null_analytics_b2b_pipeline_account_id.sql [  0.00s]
11:08:35.995966 [debug]: Finished parsing target\generic_tests\not_null_core_orders_order_total_amount.sql [  0.00s]
11:08:35.997076 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_orders_order_created_at.sql [  0.00s]
11:08:35.998087 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_refunds_refund_id.sql [  0.01s]
11:08:35.998222 [debug]: Finished parsing target\generic_tests\not_null_core_subscriptions_subscription_id.sql [  0.01s]
11:08:35.998529 [debug]: Finished parsing target\generic_tests\unique_raw_shopify_order_items_line_item_id.sql [  0.01s]
11:08:35.998889 [debug]: Finished parsing target\generic_tests\unique_src_google_ads_campaigns_campaign_id.sql [  0.00s]
11:08:35.999156 [debug]: Finished parsing target\generic_tests\not_null_analytics_inventory_current_variant_id.sql [  0.01s]
11:08:35.999294 [debug]: Finished parsing target\generic_tests\unique_raw_stripe_refunds_refund_id.sql [  0.00s]
11:08:35.999666 [debug]: Finished parsing target\generic_tests\unique_raw_salesforce_accounts_account_id.sql [  0.00s]
11:08:35.999703 [debug]: Finished parsing target\generic_tests\unique_analytics_customer_360_customer_id.sql [  0.00s]
11:08:35.999875 [debug]: Finished parsing target\generic_tests\not_null_core_email_performance_campaign_id.sql [  0.01s]
11:08:36.000289 [debug]: Finished parsing target\generic_tests\unique_raw_email_campaigns_campaign_id.sql [  0.00s]
11:08:36.000457 [debug]: Finished parsing target\generic_tests\unique_src_shopify_orders_order_id.sql [  0.00s]
11:08:36.000437 [debug]: Finished parsing target\generic_tests\not_null_raw_shopify_order_items_line_item_id.sql [  0.00s]
11:08:36.001039 [debug]: Finished parsing target\generic_tests\unique_analytics_product_performance_product_id.sql [  0.00s]
11:08:36.001077 [debug]: Finished parsing target\generic_tests\not_null_src_salesforce_accounts_account_id.sql [  0.01s]
11:08:36.002606 [debug]: Finished parsing target\generic_tests\unique_core_products_product_id.sql [  0.01s]
11:08:36.002752 [debug]: Finished parsing target\generic_tests\not_null_raw_email_campaigns_campaign_id.sql [  0.00s]
11:08:36.002799 [debug]: Finished parsing target\generic_tests\unique_core_inventory_status_variant_id.sql [  0.00s]
11:08:36.002821 [debug]: Finished parsing target\generic_tests\not_null_src_google_ads_campaigns_campaign_id.sql [  0.00s]
11:08:36.002984 [debug]: Finished parsing target\generic_tests\unique_raw_shopify_orders_order_id.sql [  0.00s]
11:08:36.003125 [debug]: Finished parsing target\generic_tests\not_null_raw_stripe_refunds_refund_id.sql [  0.00s]
11:08:36.003370 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_orders_order_id.sql [  0.00s]
11:08:36.003460 [debug]: Finished parsing target\generic_tests\not_null_analytics_customer_360_customer_id.sql [  0.00s]
11:08:36.003478 [debug]: Finished parsing target\generic_tests\not_null_raw_salesforce_accounts_account_id.sql [  0.00s]
11:08:36.004931 [debug]: Finished parsing target\generic_tests\not_null_core_inventory_status_variant_id.sql [  0.00s]
11:08:36.006255 [debug]: Finished parsing target\generic_tests\unique_src_stripe_payments_payment_id.sql [  0.01s]
11:08:36.006522 [debug]: Finished parsing target\generic_tests\unique_raw_email_events_event_id.sql [  0.00s]
11:08:36.006753 [debug]: Finished parsing target\generic_tests\not_null_src_google_ads_performance_performance_date.sql [  0.00s]
11:08:36.006943 [debug]: Finished parsing target\generic_tests\unique_src_salesforce_contacts_contact_id.sql [  0.01s]
11:08:36.007369 [debug]: Finished parsing target\generic_tests\unique_raw_stripe_subscriptions_subscription_id.sql [  0.00s]
11:08:36.007583 [debug]: Finished parsing target\generic_tests\not_null_core_products_product_id.sql [  0.01s]
11:08:36.007795 [debug]: Finished parsing target\generic_tests\unique_src_inventory_snapshots_snapshot_id.sql [  0.00s]
11:08:36.007878 [debug]: Finished parsing target\generic_tests\unique_analytics_customer_health_customer_id.sql [  0.00s]
11:08:36.007933 [debug]: Finished parsing target\generic_tests\not_null_raw_shopify_orders_order_id.sql [  0.00s]
11:08:36.007939 [debug]: Finished parsing target\generic_tests\unique_core_new_vs_returning_order_id.sql [  0.00s]
11:08:36.007959 [debug]: Finished parsing target\generic_tests\not_null_src_salesforce_contacts_contact_id.sql [  0.01s]
11:08:36.008065 [debug]: Finished parsing target\generic_tests\unique_raw_salesforce_contacts_contact_id.sql [  0.00s]
11:08:36.008191 [debug]: Finished parsing target\generic_tests\not_null_src_stripe_payments_payment_id.sql [  0.01s]
11:08:36.008352 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_orders_order_total_amount.sql [  0.01s]
11:08:36.009060 [debug]: Finished parsing target\generic_tests\not_null_raw_email_events_event_id.sql [  0.00s]
11:08:36.010202 [debug]: Finished parsing target\generic_tests\not_null_raw_stripe_subscriptions_subscription_id.sql [  0.00s]
11:08:36.010653 [debug]: Finished parsing target\generic_tests\unique_raw_shopify_product_variants_variant_id.sql [  0.00s]
11:08:36.010705 [debug]: Finished parsing target\generic_tests\not_null_analytics_customer_health_customer_id.sql [  0.00s]
11:08:36.010716 [debug]: Finished parsing target\generic_tests\not_null_raw_salesforce_contacts_contact_id.sql [  0.00s]
11:08:36.010751 [debug]: Finished parsing target\generic_tests\unique_src_salesforce_opportunities_opportunity_id.sql [  0.00s]
11:08:36.010764 [debug]: Finished parsing target\generic_tests\unique_src_stripe_refunds_refund_id.sql [  0.00s]
11:08:36.010773 [debug]: Finished parsing target\generic_tests\unique_src_shopify_product_variants_variant_id.sql [  0.00s]
11:08:36.010784 [debug]: Finished parsing target\generic_tests\unique_raw_google_ads_campaigns_campaign_id.sql [  0.00s]
11:08:36.010798 [debug]: Finished parsing target\generic_tests\not_null_src_inventory_snapshots_snapshot_id.sql [  0.00s]
11:08:36.011355 [debug]: Finished parsing target\generic_tests\not_null_core_new_vs_returning_order_id.sql [  0.00s]
11:08:36.011501 [debug]: Finished parsing target\generic_tests\unique_core_refunds_refund_id.sql [  0.00s]
11:08:36.013532 [debug]: Finished parsing target\generic_tests\not_null_src_mobile_events_event_at.sql [  0.00s]
11:08:36.013625 [debug]: Finished parsing target\generic_tests\not_null_src_stripe_refunds_refund_id.sql [  0.00s]
11:08:36.013731 [debug]: Finished parsing target\generic_tests\unique_analytics_email_performance_campaign_id.sql [  0.00s]
11:08:36.013831 [debug]: Finished parsing target\generic_tests\not_null_src_salesforce_opportunities_opportunity_id.sql [  0.00s]
11:08:36.014554 [debug]: Finished parsing target\generic_tests\unique_raw_salesforce_opportunities_opportunity_id.sql [  0.00s]
11:08:36.014625 [debug]: Finished parsing target\generic_tests\not_null_raw_shopify_product_variants_variant_id.sql [  0.00s]
11:08:36.014633 [debug]: Finished parsing target\generic_tests\unique_core_opportunities_opportunity_id.sql [  0.00s]
11:08:36.014692 [debug]: Finished parsing target\generic_tests\not_null_src_shopify_product_variants_variant_id.sql [  0.00s]
